tav,title,page,hotspots,low_conf,tav_missing,title_missing,action
p001,,pages/p001.png,0,0,1,1,read tavola no. from corner; type title from header; check: really no numbers?
p010,,pages/p010.png,0,0,1,1,read tavola no. from corner; type title from header; check: really no numbers?
p050,,pages/p050.png,0,0,1,1,read tavola no. from corner; type title from header; check: really no numbers?
p005,,pages/p005.png,16,3,1,1,read tavola no. from corner; type title from header; check 3 low-conf numbers
p053,,pages/p053.png,37,3,1,1,read tavola no. from corner; type title from header; check 3 low-conf numbers
p069,,pages/p069.png,18,3,1,1,read tavola no. from corner; type title from header; check 3 low-conf numbers
p089,,pages/p089.png,21,3,1,1,read tavola no. from corner; type title from header; check 3 low-conf numbers
p049,,pages/p049.png,13,2,1,1,read tavola no. from corner; type title from header; check 2 low-conf numbers
p060,,pages/p060.png,19,2,1,1,read tavola no. from corner; type title from header; check 2 low-conf numbers
p079,,pages/p079.png,22,2,1,1,read tavola no. from corner; type title from header; check 2 low-conf numbers
p096,,pages/p096.png,23,2,1,1,read tavola no. from corner; type title from header; check 2 low-conf numbers
p033,,pages/p033.png,18,1,1,1,read tavola no. from corner; type title from header; check 1 low-conf numbers
p059,,pages/p059.png,14,1,1,1,read tavola no. from corner; type title from header; check 1 low-conf numbers
p002,,pages/p002.png,3,0,1,1,read tavola no. from corner; type title from header
p009,,pages/p009.png,8,0,1,1,read tavola no. from corner; type title from header
p028,,pages/p028.png,16,0,1,1,read tavola no. from corner; type title from header
p034,,pages/p034.png,26,0,1,1,read tavola no. from corner; type title from header
p041,,pages/p041.png,14,0,1,1,read tavola no. from corner; type title from header
p051,,pages/p051.png,1,0,1,1,read tavola no. from corner; type title from header
p073,,pages/p073.png,12,0,1,1,read tavola no. from corner; type title from header
p075,,pages/p075.png,1,0,1,1,read tavola no. from corner; type title from header
p081,,pages/p081.png,2,0,1,1,read tavola no. from corner; type title from header
p084,,pages/p084.png,12,0,1,1,read tavola no. from corner; type title from header
0361,,pages/p011.png,0,0,0,1,type title from header; check: really no numbers?
10115,COMANDI VARI,pages/p017.png,0,0,0,0,check: really no numbers?
10107,DISTRIBUZIONE,pages/p014.png,25,6,0,0,check 6 low-conf numbers
55205,MOTORINO DI AVVIAMENTO 4198601,pages/p092.png,26,6,0,0,check 6 low-conf numbers
10106·2,,pages/p015.png,24,5,0,1,type title from header; check 5 low-conf numbers
10206,,pages/p022.png,28,5,0,1,type title from header; check 5 low-conf numbers
33102/1,COMANDO IDRAULICO FRENI,pages/p058.png,20,5,0,0,check 5 low-conf numbers
44300,,pages/p078.png,21,5,0,1,type title from header; check 5 low-conf numbers
